shopping_mall,distrito,rating,lat,lon,perfil_socioeconómico,descripcion
Cevahir AVM,Şişli,4.2,410632,289925,Medio / Masivo,"A pesar de su ubicación, está diseñado para atraer a una base de clientes amplia y turistas con marcas más asequibles."
Emaar Square Mall,Üsküdar,4.4,410035,290713,Alto / Clase Media-Alta,Atiende a la población de alto poder adquisitivo del lado asiático.
Forum Istanbul,Bayrampaşa,4.1,410466,28897,Medio / Masivo,"Ubicado en barrios interiores, diseñado para una clientela muy amplia, incluyendo la clase media y media-baja."
İstinye Park,Sarıyer,4.5,411105,290332,Muy Alto / Lujo,Uno de los distritos más ricos y exclusivos de Estambul.
Kanyon,Şişli / Levent,4.3,410782,290173,Alto / Ejecutivos,Integrado en el principal distrito financiero.
Mall of Istanbul,Başakşehir,4.4,410626,288075,Media-Alta,Sirve a las poblaciones de clase media y media-alta de los nuevos desarrollos en el oeste.
Metrocity,Beşiktaş,3.8,410764,290134,Medio-Alto,Ofrece una mezcla de consumo de calidad para la clase media-alta establecida.
Metropol AVM,Ataşehir,4.4,40994,291226,Alto / Clase Media-Alta (Nuevo Hub),Distrito moderno y planificado en el lado asiático.
Viaport Outlet,Pendik,4.2,409377,293261,Medio / Precio Consciente,Centro de formato outlet que atrae a la clase media enfocada en descuentos.
Zorlu Center,Beşiktaş,4.5,410671,290155,Muy Alto / Lujo,"Cercano al distrito financiero, sinónimo de alta costura y clientela ejecutiva."
